,алкоголь,начальная плотность,расчетная горечь,хмель,солод,name,а также,солода
0,"10,5%","26,0 %",60 IBU,"COLUMBUS, CASCADE, WILLAMETTE","MARIS OTTER, MUNICH, OATS, AROMA, CARAMEL, ROASTED BARLEY, SPECIAL B, BLACK, CHOCOLATE, SMOKED MALT",v1bourbon,,
1,"5,5 %",13 %,10 IBU,COLUMBUS,"MARRIS OTTER, SPECIAL B, WHEAT",22,,
2,"6,0 %","14,0 %",20 IBU,SABRO,"PALE ALE, WHITE CLASSIC, OAT",populism-sabro-edition,,
3,"5,0 %","12,5 %",30 IBU,"PERLE, HALLERTAUER MITTELFRUHER","PILSNER, MUNICH",jawspilsner,,
4,"4,5 %","11,5 %",10 IBU,PREMIANT,"PILSEN, WHITE CLASSIC",sourbreezemango,"МАНГО, КОРИАНДР, МОРСКАЯ СОЛЬ",
5,7 %,16 %,101 IBU,"CITRA, MOSAIC, CASCADE, CHINOOK","PILSNER, SPECIAL B, CARAMEL, CHOCOLATE",chernaya-atomnaya-prachechnaya,,
6,"5,6 %","13,0 %",27 IBU,PERLE,"WHEAT BLANC, PILSNER, CRYSTAL",jawsweizen,,
7,"4,5 %","11,0 %",10 IBU,PREMIANT,"PALE ALE, WHEAT ГРЕЙПФРУТ, КОРИАНДР, МОРСКАЯ СОЛЬ",sour-breeze-grapefruit,,
8,"5,2 %","13,0 %",25 IBU,"AHTANUM, WILLAMETTE, ZEUS","PALE ALE, CARAMEL, WHEAT",jawspaleale,,
9,"5,65 %","13,4 %",,,,krasnyy-ishchu-cheloveka,,
10,"4,5 %","13,0 %",10 IBU,CITRA,"PILSNER, WHITE CLASSIC, OAT",sour-flex,,
11,"9,2 %","19,0 %",20 IBU,"PREMIANT, SAAZ","PILSEN, MELANO",holytrip,,
12,"5,5 %","13,0 %",12 IBU,CITRA,"PALE ALE, WHITE CLASSIC",om,,
13,"10,5 %","26,0 %",80 IBU,"CASCADE, TOMAHAWK, GOLDING",,vova,ВЫДЕРЖКА В ДУБОВЫХ БУРБОНОВЫХ БОЧКАХ,"PALE ALE, MUNICH, CARAAROMA, CARAFA, ROASTED BARLEY, OATS"
14,"11,0 %","29,0 %",48 IBU,"COLUMBUS, WILLAMETTE, EKUANOT","MARIS OTTER, CARAMEL, MROOST",overdrive,,
